Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_PW,Tot_SC_PW,Tot_ST_PW,Tot_BC_PW,Tot_OC_PW,Tot_LW,Tot_SC_LW,Tot_ST_LW,Tot_BC_LW,Tot_OC_LW
2025,10,MAHABUBNAGAR,MAHABUBNAGAR (R),Kakarlapad,1412304,Ipptoor-2,2,2,0,0,0,4,4,0,0,0
2025,10,MAHABUBNAGAR,MAHABUBNAGAR (R),Kakarlapad,1412347,Kakarlapadu-2,5,3,0,2,0,0,0,0,0,0
2025,10,SANGAREDDY,NARAYANKHED,Erakpally,1706176,Shanthi Nagar thanda,4,0,4,0,0,0,0,0,0,0
2025,10,SANGAREDDY,NARAYANKHED,Erakpally,1706355,VITTAL NAYAK THANDA,0,0,0,0,0,2,0,2,0,0
2025,10,MEDAK,RAMAYAMPET,Gavvalapally,1708098,S Kondapur - 1,5,1,0,4,0,2,2,0,0,0
2025,10,SANGAREDDY,NARAYANKHED,Erakpally,1706362,LAKYANAYAK THANDA,1,0,1,0,0,1,0,1,0,0
2025,10,NALGONDA,DEVARAKONDA,YARRARAM,2304109,Bollenpally Thanda,3,0,3,0,0,1,0,1,0,0
2025,10,SIDDIPET,DUBBAK,Thimmapur,1701146,Peddagundavelly-1,6,4,0,2,0,9,6,0,3,0
2025,10,NALGONDA,DEVARAKONDA,THELDEVARAPALLY,2304159,Yapalapaya,2,0,2,0,0,0,0,0,0,0
2025,10,NALGONDA,DEVARAKONDA,PEDDAMUNIGAL,2304209,Nallabai,2,0,2,0,0,0,0,0,0,0
2025,10,MEDAK,RAMAYAMPET,Masaipet,1708148,Achampet,10,4,0,4,2,4,2,0,2,0
2025,10,KAMAREDDY,MADNOOR,Bichkunda,1807013,Bichkunda-7,6,1,0,4,1,0,0,0,0,0
2025,10,MULUGU,ETURUNAGARAM (T),RAMACHANDRUNIPETA,2117061,Ramchandrunipeta,6,1,5,0,0,0,0,0,0,0
2025,10,NALGONDA,DEVARAKONDA,DEVARAKONDA,2303223,Chandranna Colony,6,1,1,4,0,1,0,0,1,0
2025,10,YADADRI-BHUVANGIRI,MOTHKUR (R),Gundala,2309107,Bandakothapally-1,3,0,0,3,0,2,0,0,2,0
2025,10,VIKARABAD,VIKARABAD,Vikarabad,1511008,Kotherpally,10,5,0,3,2,1,0,0,0,1
2025,10,VIKARABAD,VIKARABAD,Vikarabad,1511187,Subash Nagar,8,0,2,4,2,5,1,1,2,1
2025,10,JANGAON,STN.GHANPUR,NIDIGONDA,2107126,Nidigonda 2,2,2,0,0,0,2,2,0,0,0
2025,10,JANGAON,STN.GHANPUR,NIDIGONDA,2107133,Fatheshapru 2,5,2,0,1,2,3,2,0,0,1
2025,10,WARANGAL,WARANGAL(U),Paidipalli,2106033,Paidipalli IV,4,4,0,0,0,1,1,0,0,0
2025,10,WARANGAL,WARANGAL(U),Paidipalli,2106040,Arepalli -1,6,1,0,5,0,4,0,0,4,0
2025,10,NIRMAL,KHANAPUR,Bellal,1908096,Yelagadapa,9,0,0,7,2,7,1,0,5,1
2025,10,JAGITYAL,JAGITYAL,thatipally,2005096,Bahojipeta,5,5,0,0,0,3,3,0,0,0
2025,10,RAJANNA-SIRICILLA,VEMULAWADA,Nampalli,2016042,Sankepally-1,2,0,1,1,0,2,0,0,2,0
2025,10,RAJANNA-SIRICILLA,VEMULAWADA,Nampalli,2016221,Rajnagar (marupaka),4,2,1,1,0,0,0,0,0,0
2025,10,MAHABUBABAD ,GUDUR,MATTEWADA,2105047,Matwada -I,6,0,5,1,0,1,0,1,0,0
2025,10,MAHABUBABAD ,GUDUR,MATTEWADA,2105054,Mallannagudem,5,0,4,1,0,0,0,0,0,0
2025,10,MAHABUBABAD ,GUDUR,Gangaram,2105154,Kothagumpu,1,0,1,0,0,2,0,2,0,0
2025,10,RANGAREDDY,IBRAHIMPATANAM,Yacharam,1504092,Yacharam-2,3,3,0,0,0,10,6,0,3,1
2025,10,RANGAREDDY,IBRAHIMPATANAM,Yacharam,1504099,Gunagal-3,3,2,0,1,0,2,0,0,1,1
2025,10,RANGAREDDY,IBRAHIMPATANAM,Yacharam,1504106,Nandi vanaparthi-2,5,0,0,5,0,3,1,0,2,0
2025,10,SANGAREDDY,NARAYANKHED,Borancha,1706280,Borancha - 3,13,0,0,13,0,3,0,0,3,0
2025,10,NIRMAL,NIRMAL,Sharathmahal,1912056,MOCHIGALLI,7,1,1,3,2,3,0,0,3,0
2025,10,BHADRADRI-KOTHAGUDEM,YELLANDU,Rompaid,2215337,Rajaya thanda,3,0,3,0,0,1,0,1,0,0
2025,10,BHADRADRI-KOTHAGUDEM,YELLANDU,StationBasthi,2215386,15th Ward,7,1,1,5,0,0,0,0,0,0
2025,10,NIRMAL,NIRMAL,Mujgi,1912103,VENGVAPET-II,5,0,0,4,1,2,0,0,1,1
2025,10,NIRMAL,NIRMAL,Mujgi,1912105,DYANGAPUR,12,3,1,8,0,2,0,1,1,0
2025,10,MANCHERIAL,MANCHERIAL,VIDYANAGAR,1910031,Gandhinagar-2,2,0,0,2,0,4,0,0,3,1
2025,10,MANCHERIAL,MANCHERIAL,VIDYANAGAR,1910033,Ist zone-2,3,1,0,2,0,1,1,0,0,0
2025,10,BHADRADRI-KOTHAGUDEM,YELLANDU,Mukundapuram,2215335,Sevya thanda,2,0,2,0,0,1,0,1,0,0
2025,10,MULUGU,MULUGU,Mallampalli,2111249,KUMMARIPALLI,4,0,0,4,0,3,0,0,3,0
2025,10,BHADRADRI-KOTHAGUDEM,PALWANCHA,Shiridi Sai Nagar,2208200,SONIYA NAGAR,3,2,0,1,0,2,1,0,1,0
2025,10,ADILABAD,UTNUR,NARSAPUR B,1914026,Salewada-K,9,2,2,5,0,5,0,1,4,0
2025,10,ADILABAD,UTNUR,NARSAPUR B,1914028,Koperghat-I,3,0,0,3,0,0,0,0,0,0
2025,10,ADILABAD,UTNUR,UTNOOR,1914177,Mobinpur,14,1,0,1,12,0,0,0,0,0
2025,10,BHADRADRI-KOTHAGUDEM,PALWANCHA,Laxmidevipally,2207028,Laxmidevipally-3,5,0,2,3,0,4,0,2,1,1
2025,10,BHADRADRI-KOTHAGUDEM,PALWANCHA,Laxmidevipally,2207147,LAXMIDEVIPALLY - 6	 ,10,1,1,6,2,3,1,1,1,0
2025,10,BHADRADRI-KOTHAGUDEM,PALWANCHA,Janganadhapuram,2207098,Jagannadhapuram-1,11,0,5,6,0,1,0,0,0,1
2025,10,ADILABAD,UTNUR,INDERVELLY,1914226,Leemguda,3,0,3,0,0,0,0,0,0,0
2025,10,ADILABAD,UTNUR,INDERVELLY,1914228,Tekidiguda,2,0,2,0,0,1,0,1,0,0
2025,10,VIKARABAD,TANDUR,Mambapur,1510277,Dharunivagu Tanda,3,0,3,0,0,0,0,0,0,0
2025,10,SANGAREDDY,SADASIVAPET,Kondapur ,1709075,Saidapur ,7,5,0,2,0,6,3,0,2,1
2025,10,SANGAREDDY,SADASIVAPET,Kondapur ,1709190,Haridaspur-2,2,1,0,1,0,1,0,0,1,0
2025,10,VIKARABAD,TANDUR,Yalal,1510110,SAMGAM KURDU I,2,1,0,1,0,6,3,0,3,0
2025,10,NARAYANPET,MADDUR,sarjakanpet,1409116,POLLIPALLI - I,8,0,0,8,0,1,0,0,1,0
2025,10,NARAYANPET,MADDUR,sarjakanpet,1409119,HAKEEMPET-II,14,4,0,10,0,2,1,0,1,0
2025,10,NARAYANPET,MADDUR,sarjakanpet,1411124,Chandravancha I,4,0,0,4,0,3,0,0,3,0
2025,10,KARIMNAGAR,KARIMNAGAR (R ),Parlapalli,2006152,Porandla 2,4,0,0,4,0,4,0,1,3,0
2025,10,KARIMNAGAR,KARIMNAGAR (R ),Parlapalli,2006155,Islamnagar,1,0,0,1,0,3,1,0,1,1
2025,10,JOGULAMBA-GADWAL,MANOPADU,Undavelli,1416204,Pragatoor,7,4,0,2,1,3,2,0,1,0
2025,10,MEDAK,NARSAPUR,Manoharabad,1702120,Lingareddypet,10,2,1,6,1,2,0,0,2,0
2025,10,JOGULAMBA-GADWAL,MANOPADU,Undavelli,1416021,Itikyalapd,4,3,0,1,0,5,2,0,2,1
2025,10,MEDCHAL - MALKAJIGIRI,ALWAL,Jawaharnagar,1507137,Chennapur,13,1,1,8,3,10,1,0,7,2
2025,10,VIKARABAD,KODANGAL,Doulthabad,1409166,DOULTABAD-II,6,0,0,5,1,2,0,0,2,0
2025,10,MEDCHAL - MALKAJIGIRI,ALWAL,Jawaharnagar,1507205,Rajivgandhinagar,12,3,0,9,0,16,5,0,11,0
2025,10,NALGONDA,ANUMULA,Thirumalgi,2314132,Badaigadda-1,5,0,1,4,0,0,0,0,0,0
